postcode,LGA,mean_price 2020 Q1,mean_price 2020 Q2,mean_price 2020 Q3,mean_price 2020 Q4,mean_price 2021 Q1,median_price 2020 Q1,median_price 2020 Q2,median_price 2020 Q3,median_price 2020 Q4,median_price 2021 Q1,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,sales_no 2020 Q1,sales_no 2020 Q2,sales_no 2020 Q3,sales_no 2020 Q4,sales_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1
2018,SYDNEY,1026.0,1010.0,5174.0,1052.0,974.0,878.0,850.0,900.0,880.0,824.0,650.0,600.0,550.0,550.0,570.0,468.0,327.0,580.0,481.0,505.0,80.0,41.0,83.0,114.0,84.0,3203.0,3102.0,3233.0,3454.0,3513.0
2019,BAYSIDE,1002.0,864.0,968.0,992.0,1071.0,919.0,810.0,877.0,895.0,960.0,610.0,590.0,550.0,550.0,580.0,203.0,105.0,160.0,171.0,238.0,44.0,37.0,74.0,88.0,89.0,1556.0,1526.0,1558.0,1602.0,1675.0
2020,BAYSIDE,1017.0,1031.0,986.0,932.0,925.0,970.0,932.0,865.0,847.0,853.0,700.0,650.0,610.0,580.0,600.0,651.0,464.0,853.0,738.0,867.0,63.0,56.0,66.0,81.0,82.0,4182.0,3936.0,4179.0,4342.0,4568.0
2020,INNER WEST,1017.0,1031.0,986.0,932.0,925.0,970.0,932.0,865.0,847.0,853.0,700.0,650.0,610.0,580.0,600.0,651.0,464.0,853.0,738.0,867.0,63.0,56.0,66.0,81.0,82.0,4182.0,3936.0,4179.0,4342.0,4568.0
2021,RANDWICK,2217.0,2216.0,1808.0,2359.0,2495.0,1871.0,2080.0,1825.0,2108.0,2320.0,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,67.0,72.0,85.0,114.0,87.0,3472.0,3388.0,3398.0,3435.0,3488.0
2021,SYDNEY,2217.0,2216.0,1808.0,2359.0,2495.0,1871.0,2080.0,1825.0,2108.0,2320.0,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,67.0,72.0,85.0,114.0,87.0,3472.0,3388.0,3398.0,3435.0,3488.0
2021,WOOLLAHRA,2217.0,2216.0,1808.0,2359.0,2495.0,1871.0,2080.0,1825.0,2108.0,2320.0,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,67.0,72.0,85.0,114.0,87.0,3472.0,3388.0,3398.0,3435.0,3488.0
2022,WAVERLEY,1614.0,1682.0,1648.0,1758.0,2494.0,1575.0,1415.0,1492.0,1540.0,1805.0,720.0,660.0,673.0,675.0,650.0,304.0,341.0,548.0,443.0,370.0,53.0,46.0,66.0,70.0,72.0,2810.0,2720.0,2930.0,3079.0,3084.0
2023,WOOLLAHRA,2789.0,2855.0,3517.0,3650.0,3024.0,1455.0,2154.0,2400.0,2400.0,1650.0,743.0,625.0,593.0,650.0,650.0,128.0,125.0,168.0,173.0,171.0,40.0,42.0,55.0,69.0,56.0,1408.0,1355.0,1376.0,1400.0,1412.0
2024,WAVERLEY,2205.0,2180.0,2367.0,2497.0,2974.0,1725.0,2068.0,2221.0,1600.0,2255.0,688.0,653.0,650.0,675.0,650.0,134.0,196.0,238.0,195.0,185.0,36.0,38.0,50.0,69.0,67.0,1785.0,1735.0,1782.0,1797.0,1812.0
2025,WOOLLAHRA,2877.0,2466.0,2524.0,2660.0,2406.0,2700.0,2200.0,2000.0,2240.0,2040.0,740.0,690.0,720.0,650.0,650.0,99.0,114.0,132.0,146.0,131.0,20.0,35.0,41.0,39.0,47.0,1175.0,1150.0,1136.0,1168.0,1170.0
2026,WAVERLEY,2165.0,1656.0,1845.0,1893.0,2966.0,1550.0,1200.0,1525.0,1500.0,1620.0,725.0,650.0,650.0,675.0,700.0,682.0,850.0,1241.0,989.0,838.0,159.0,132.0,169.0,187.0,181.0,8141.0,7824.0,8106.0,8436.0,8528.0
2027,WOOLLAHRA,2166.0,2191.0,3657.0,3307.0,3808.0,1650.0,1768.0,2100.0,2200.0,2500.0,785.0,783.0,735.0,650.0,700.0,132.0,136.0,185.0,154.0,192.0,50.0,38.0,43.0,57.0,53.0,1433.0,1404.0,1442.0,1537.0,1576.0
2028,WOOLLAHRA,2112.0,2504.0,1839.0,2521.0,2330.0,1425.0,2120.0,1585.0,1900.0,1635.0,850.0,725.0,680.0,685.0,705.0,91.0,66.0,135.0,102.0,151.0,20.0,20.0,20.0,20.0,20.0,939.0,885.0,942.0,997.0,1025.0
2029,WAVERLEY,2293.0,2075.0,2332.0,2305.0,2014.0,1733.0,1700.0,1595.0,1770.0,1498.0,660.0,650.0,625.0,650.0,620.0,181.0,126.0,201.0,202.0,169.0,38.0,39.0,48.0,67.0,68.0,1808.0,1756.0,1757.0,1825.0,1832.0
2029,WOOLLAHRA,2293.0,2075.0,2332.0,2305.0,2014.0,1733.0,1700.0,1595.0,1770.0,1498.0,660.0,650.0,625.0,650.0,620.0,181.0,126.0,201.0,202.0,169.0,38.0,39.0,48.0,67.0,68.0,1808.0,1756.0,1757.0,1825.0,1832.0
2030,WAVERLEY,3150.0,3313.0,3277.0,3589.0,3658.0,2725.0,2950.0,2513.0,3100.0,3710.0,780.0,750.0,745.0,690.0,750.0,117.0,87.0,118.0,115.0,117.0,39.0,45.0,82.0,61.0,47.0,1188.0,1134.0,1151.0,1177.0,1180.0
2030,WOOLLAHRA,3150.0,3313.0,3277.0,3589.0,3658.0,2725.0,2950.0,2513.0,3100.0,3710.0,780.0,750.0,745.0,690.0,750.0,117.0,87.0,118.0,115.0,117.0,39.0,45.0,82.0,61.0,47.0,1188.0,1134.0,1151.0,1177.0,1180.0
2031,RANDWICK,1602.0,2761.0,1593.0,1602.0,1654.0,1200.0,1573.0,1220.0,1218.0,1278.0,630.0,585.0,580.0,560.0,570.0,633.0,602.0,841.0,773.0,782.0,107.0,124.0,130.0,178.0,166.0,6606.0,6463.0,6553.0,6697.0,6748.0
2032,BAYSIDE,1476.0,1873.0,1393.0,1525.0,1389.0,1311.0,1645.0,1420.0,1503.0,965.0,565.0,500.0,473.0,438.0,450.0,416.0,244.0,444.0,442.0,530.0,20.0,20.0,37.0,42.0,51.0,2752.0,2611.0,2574.0,2694.0,2751.0
2032,RANDWICK,1476.0,1873.0,1393.0,1525.0,1389.0,1311.0,1645.0,1420.0,1503.0,965.0,565.0,500.0,473.0,438.0,450.0,416.0,244.0,444.0,442.0,530.0,20.0,20.0,37.0,42.0,51.0,2752.0,2611.0,2574.0,2694.0,2751.0
2033,RANDWICK,1345.0,1231.0,1770.0,1410.0,1613.0,959.0,945.0,1500.0,900.0,1000.0,580.0,520.0,490.0,495.0,480.0,285.0,218.0,337.0,316.0,374.0,20.0,20.0,72.0,45.0,54.0,2389.0,2304.0,2289.0,2336.0,2364.0
2034,RANDWICK,1894.0,1623.0,1888.0,1780.0,2105.0,1573.0,1200.0,1495.0,1508.0,1600.0,710.0,630.0,650.0,650.0,660.0,396.0,417.0,559.0,406.0,411.0,64.0,53.0,76.0,96.0,96.0,3929.0,3835.0,3944.0,4019.0,4024.0
2035,BAYSIDE,1396.0,1490.0,1564.0,1551.0,1702.0,1205.0,1485.0,1480.0,1335.0,1450.0,650.0,600.0,550.0,550.0,560.0,477.0,414.0,539.0,509.0,576.0,95.0,66.0,101.0,135.0,127.0,4551.0,4489.0,4476.0,4557.0,4597.0
2035,RANDWICK,1396.0,1490.0,1564.0,1551.0,1702.0,1205.0,1485.0,1480.0,1335.0,1450.0,650.0,600.0,550.0,550.0,560.0,477.0,414.0,539.0,509.0,576.0,95.0,66.0,101.0,135.0,127.0,4551.0,4489.0,4476.0,4557.0,4597.0
2036,BAYSIDE,1156.0,1249.0,1208.0,1285.0,1317.0,993.0,1080.0,925.0,1000.0,1030.0,670.0,640.0,620.0,600.0,600.0,462.0,390.0,527.0,475.0,553.0,106.0,81.0,129.0,156.0,139.0,3359.0,3429.0,3629.0,3742.0,3877.0
2036,RANDWICK,1156.0,1249.0,1208.0,1285.0,1317.0,993.0,1080.0,925.0,1000.0,1030.0,670.0,640.0,620.0,600.0,600.0,462.0,390.0,527.0,475.0,553.0,106.0,81.0,129.0,156.0,139.0,3359.0,3429.0,3629.0,3742.0,3877.0
2037,SYDNEY,1235.0,1439.0,1516.0,1426.0,1197.0,1170.0,1238.0,1400.0,1437.0,1070.0,630.0,550.0,520.0,500.0,530.0,582.0,383.0,606.0,564.0,565.0,48.0,50.0,53.0,55.0,81.0,3867.0,3734.0,3818.0,3933.0,3934.0
2038,INNER WEST,1822.0,1525.0,1623.0,1604.0,1983.0,1765.0,1480.0,1440.0,1653.0,2020.0,668.0,578.0,595.0,550.0,550.0,170.0,148.0,182.0,156.0,203.0,20.0,32.0,43.0,56.0,35.0,1697.0,1664.0,1634.0,1601.0,1618.0
2038,SYDNEY,1822.0,1525.0,1623.0,1604.0,1983.0,1765.0,1480.0,1440.0,1653.0,2020.0,668.0,578.0,595.0,550.0,550.0,170.0,148.0,182.0,156.0,203.0,20.0,32.0,43.0,56.0,35.0,1697.0,1664.0,1634.0,1601.0,1618.0
2039,INNER WEST,1649.0,1459.0,1612.0,1630.0,1718.0,1803.0,1440.0,1509.0,1600.0,1730.0,700.0,650.0,650.0,600.0,650.0,159.0,164.0,172.0,188.0,164.0,20.0,38.0,52.0,57.0,57.0,1422.0,1402.0,1409.0,1438.0,1437.0
2040,INNER WEST,1422.0,1412.0,1424.0,1455.0,1623.0,1465.0,1400.0,1415.0,1500.0,1670.0,665.0,630.0,640.0,620.0,630.0,350.0,281.0,394.0,316.0,380.0,81.0,85.0,113.0,107.0,95.0,3120.0,3070.0,3082.0,3082.0,3116.0
2041,INNER WEST,2036.0,2011.0,1942.0,2168.0,2040.0,1900.0,1825.0,1860.0,1893.0,1888.0,700.0,700.0,660.0,650.0,655.0,255.0,220.0,256.0,218.0,262.0,61.0,52.0,71.0,95.0,78.0,2475.0,2419.0,2427.0,2422.0,2421.0
2042,INNER WEST,1252.0,1194.0,1331.0,2233.0,1352.0,1340.0,1210.0,1300.0,1380.0,1430.0,580.0,575.0,520.0,480.0,550.0,496.0,500.0,648.0,579.0,616.0,54.0,57.0,79.0,92.0,112.0,4603.0,4516.0,4601.0,4674.0,4700.0
2042,SYDNEY,1252.0,1194.0,1331.0,2233.0,1352.0,1340.0,1210.0,1300.0,1380.0,1430.0,580.0,575.0,520.0,480.0,550.0,496.0,500.0,648.0,579.0,616.0,54.0,57.0,79.0,92.0,112.0,4603.0,4516.0,4601.0,4674.0,4700.0
2043,SYDNEY,1120.0,1129.0,1045.0,1115.0,1097.0,999.0,1020.0,975.0,1116.0,1000.0,720.0,650.0,645.0,600.0,613.0,190.0,166.0,236.0,324.0,362.0,38.0,36.0,69.0,70.0,75.0,1650.0,1629.0,1657.0,1929.0,2034.0
2044,INNER WEST,1223.0,1117.0,1109.0,1254.0,1249.0,1251.0,1181.0,1150.0,1230.0,1292.0,620.0,650.0,640.0,600.0,630.0,126.0,94.0,145.0,161.0,135.0,20.0,31.0,52.0,45.0,48.0,1169.0,1142.0,1124.0,1177.0,1172.0
2044,SYDNEY,1223.0,1117.0,1109.0,1254.0,1249.0,1251.0,1181.0,1150.0,1230.0,1292.0,620.0,650.0,640.0,600.0,630.0,126.0,94.0,145.0,161.0,135.0,20.0,31.0,52.0,45.0,48.0,1169.0,1142.0,1124.0,1177.0,1172.0
2045,INNER WEST,2090.0,725.0,2111.0,2574.0,2851.0,2050.0,725.0,2100.0,2540.0,2860.0,600.0,580.0,530.0,515.0,573.0,20.0,43.0,37.0,20.0,20.0,20.0,5.0,20.0,20.0,20.0,338.0,350.0,364.0,349.0,346.0
2046,CANADA BAY,1407.0,1368.0,1387.0,1556.0,2344.0,1289.0,1170.0,1177.0,1350.0,1500.0,630.0,600.0,590.0,580.0,600.0,280.0,253.0,310.0,241.0,318.0,74.0,61.0,96.0,140.0,137.0,3036.0,2996.0,3020.0,3040.0,3091.0
2047,CANADA BAY,1466.0,1681.0,1286.0,1483.0,1593.0,1343.0,1490.0,973.0,1300.0,1400.0,650.0,600.0,600.0,580.0,588.0,147.0,190.0,191.0,195.0,186.0,48.0,36.0,65.0,56.0,61.0,1820.0,1818.0,1804.0,1804.0,1784.0
2048,INNER WEST,1597.0,1515.0,1314.0,1487.0,1389.0,1722.0,1613.0,1505.0,1675.0,1474.0,528.0,480.0,500.0,480.0,490.0,166.0,133.0,182.0,146.0,199.0,20.0,20.0,39.0,41.0,32.0,1588.0,1552.0,1544.0,1526.0,1535.0
2049,INNER WEST,1770.0,1178.0,1133.0,1349.0,1226.0,1354.0,1115.0,880.0,1315.0,1205.0,515.0,480.0,450.0,470.0,460.0,285.0,218.0,300.0,286.0,331.0,33.0,38.0,46.0,51.0,45.0,2392.0,2345.0,2414.0,2480.0,2522.0
2050,INNER WEST,1035.0,981.0,1073.0,1078.0,1020.0,865.0,800.0,820.0,960.0,865.0,660.0,600.0,560.0,550.0,570.0,289.0,235.0,367.0,355.0,438.0,20.0,34.0,45.0,64.0,31.0,2336.0,2244.0,2267.0,2383.0,2453.0
2050,SYDNEY,1035.0,981.0,1073.0,1078.0,1020.0,865.0,800.0,820.0,960.0,865.0,660.0,600.0,560.0,550.0,570.0,289.0,235.0,367.0,355.0,438.0,20.0,34.0,45.0,64.0,31.0,2336.0,2244.0,2267.0,2383.0,2453.0
2060,NORTH SYDNEY,1206.0,1431.0,1636.0,1531.0,1633.0,1081.0,1250.0,1105.0,1289.0,1227.0,650.0,560.0,550.0,520.0,560.0,491.0,394.0,626.0,554.0,635.0,60.0,63.0,56.0,104.0,90.0,4050.0,3914.0,4060.0,4234.0,4330.0
2061,NORTH SYDNEY,1909.0,2212.0,2564.0,2983.0,2049.0,1888.0,2072.0,2350.0,2435.0,1520.0,730.0,600.0,600.0,588.0,563.0,175.0,209.0,233.0,224.0,216.0,34.0,20.0,20.0,20.0,37.0,1879.0,1850.0,1848.0,1898.0,1905.0
2062,NORTH SYDNEY,1637.0,1364.0,1540.0,1626.0,1854.0,1670.0,1125.0,1308.0,1275.0,1450.0,650.0,570.0,580.0,565.0,570.0,134.0,111.0,128.0,119.0,148.0,34.0,20.0,20.0,48.0,39.0,1269.0,1258.0,1262.0,1241.0,1262.0
2063,WILLOUGHBY,2641.0,725.0,4147.0,3157.0,2592.0,2820.0,725.0,3881.0,3080.0,2613.0,750.0,750.0,850.0,800.0,823.0,39.0,38.0,47.0,39.0,32.0,20.0,5.0,20.0,20.0,20.0,393.0,394.0,400.0,435.0,413.0
2064,WILLOUGHBY,1549.0,1708.0,1527.0,1491.0,1661.0,1142.0,948.0,1020.0,1030.0,1171.0,578.0,545.0,520.0,500.0,500.0,140.0,104.0,201.0,179.0,218.0,20.0,20.0,20.0,31.0,20.0,1318.0,1306.0,1345.0,1381.0,1433.0
2065,LANE COVE,1444.0,1361.0,1249.0,1384.0,1603.0,1260.0,1055.0,1065.0,1180.0,1333.0,630.0,598.0,550.0,550.0,550.0,862.0,604.0,826.0,803.0,968.0,156.0,112.0,160.0,196.0,152.0,6583.0,6490.0,6573.0,6740.0,6850.0
2065,NORTH SYDNEY,1444.0,1361.0,1249.0,1384.0,1603.0,1260.0,1055.0,1065.0,1180.0,1333.0,630.0,598.0,550.0,550.0,550.0,862.0,604.0,826.0,803.0,968.0,156.0,112.0,160.0,196.0,152.0,6583.0,6490.0,6573.0,6740.0,6850.0
2065,WILLOUGHBY,1444.0,1361.0,1249.0,1384.0,1603.0,1260.0,1055.0,1065.0,1180.0,1333.0,630.0,598.0,550.0,550.0,550.0,862.0,604.0,826.0,803.0,968.0,156.0,112.0,160.0,196.0,152.0,6583.0,6490.0,6573.0,6740.0,6850.0
2066,LANE COVE,1286.0,1620.0,1315.0,1446.0,1379.0,945.0,945.0,847.0,892.0,860.0,560.0,550.0,510.0,500.0,510.0,516.0,298.0,517.0,462.0,551.0,140.0,91.0,149.0,195.0,175.0,4342.0,4156.0,4281.0,4333.0,4349.0
2066,WILLOUGHBY,1286.0,1620.0,1315.0,1446.0,1379.0,945.0,945.0,847.0,892.0,860.0,560.0,550.0,510.0,500.0,510.0,516.0,298.0,517.0,462.0,551.0,140.0,91.0,149.0,195.0,175.0,4342.0,4156.0,4281.0,4333.0,4349.0
2067,RYDE,1714.0,1469.0,1525.0,1668.0,1668.0,1636.0,1174.0,1318.0,1538.0,1228.0,643.0,600.0,580.0,510.0,550.0,496.0,372.0,636.0,672.0,660.0,54.0,54.0,76.0,99.0,86.0,4178.0,4068.0,4167.0,4558.0,4724.0
2067,WILLOUGHBY,1714.0,1469.0,1525.0,1668.0,1668.0,1636.0,1174.0,1318.0,1538.0,1228.0,643.0,600.0,580.0,510.0,550.0,496.0,372.0,636.0,672.0,660.0,54.0,54.0,76.0,99.0,86.0,4178.0,4068.0,4167.0,4558.0,4724.0
2068,WILLOUGHBY,2338.0,2400.0,2276.0,2190.0,2562.0,2490.0,2440.0,2390.0,2305.0,2659.0,775.0,600.0,595.0,600.0,650.0,134.0,87.0,128.0,122.0,139.0,50.0,37.0,50.0,74.0,64.0,1365.0,1318.0,1349.0,1352.0,1359.0
2069,KU-RING-GAI,2355.0,2150.0,2415.0,2734.0,2865.0,2370.0,2245.0,2600.0,2750.0,2510.0,635.0,610.0,610.0,600.0,570.0,112.0,71.0,117.0,122.0,136.0,32.0,39.0,51.0,63.0,36.0,947.0,924.0,939.0,974.0,994.0
2069,WILLOUGHBY,2355.0,2150.0,2415.0,2734.0,2865.0,2370.0,2245.0,2600.0,2750.0,2510.0,635.0,610.0,610.0,600.0,570.0,112.0,71.0,117.0,122.0,136.0,32.0,39.0,51.0,63.0,36.0,947.0,924.0,939.0,974.0,994.0
2070,KU-RING-GAI,2872.0,2184.0,2044.0,2293.0,2378.0,2158.0,1970.0,1905.0,2250.0,2488.0,760.0,620.0,613.0,563.0,690.0,126.0,101.0,100.0,120.0,132.0,36.0,37.0,46.0,77.0,64.0,1084.0,1070.0,1069.0,1129.0,1153.0
2071,KU-RING-GAI,2231.0,2607.0,2083.0,2428.0,2721.0,1225.0,2482.0,2308.0,2100.0,2850.0,710.0,640.0,600.0,650.0,620.0,121.0,94.0,134.0,101.0,128.0,42.0,32.0,44.0,61.0,59.0,1047.0,1023.0,1051.0,1053.0,1056.0
2072,KU-RING-GAI,1569.0,1227.0,1530.0,1189.0,1895.0,1155.0,1025.0,940.0,920.0,1350.0,585.0,575.0,540.0,550.0,520.0,120.0,89.0,157.0,149.0,159.0,20.0,20.0,31.0,20.0,44.0,1043.0,1020.0,1060.0,1100.0,1128.0
2073,KU-RING-GAI,1928.0,1771.0,2013.0,2185.0,2354.0,1880.0,1843.0,1850.0,2143.0,2400.0,698.0,750.0,700.0,590.0,650.0,98.0,81.0,101.0,139.0,113.0,47.0,32.0,63.0,76.0,60.0,911.0,902.0,921.0,950.0,951.0
2074,KU-RING-GAI,1721.0,1803.0,2169.0,2176.0,2429.0,1750.0,1715.0,1910.0,1950.0,2280.0,630.0,600.0,600.0,650.0,650.0,193.0,117.0,145.0,124.0,133.0,95.0,73.0,93.0,89.0,89.0,1200.0,1183.0,1219.0,1232.0,1226.0
2075,KU-RING-GAI,1649.0,1751.0,1868.0,1899.0,2036.0,1680.0,1750.0,1880.0,1811.0,2220.0,715.0,750.0,720.0,635.0,650.0,138.0,77.0,147.0,120.0,117.0,71.0,61.0,103.0,126.0,91.0,1117.0,1082.0,1134.0,1168.0,1172.0
2076,HORNSBY,1839.0,1834.0,1815.0,1816.0,1982.0,1725.0,1565.0,1711.0,1713.0,1848.0,670.0,600.0,600.0,700.0,700.0,121.0,123.0,124.0,118.0,116.0,61.0,60.0,97.0,108.0,90.0,1197.0,1196.0,1191.0,1211.0,1214.0
2076,KU-RING-GAI,1839.0,1834.0,1815.0,1816.0,1982.0,1725.0,1565.0,1711.0,1713.0,1848.0,670.0,600.0,600.0,700.0,700.0,121.0,123.0,124.0,118.0,116.0,61.0,60.0,97.0,108.0,90.0,1197.0,1196.0,1191.0,1211.0,1214.0
2077,HORNSBY,802.0,880.0,877.0,923.0,902.0,700.0,732.0,729.0,731.0,720.0,485.0,455.0,460.0,450.0,440.0,644.0,428.0,591.0,517.0,650.0,166.0,112.0,168.0,202.0,208.0,5570.0,5532.0,5629.0,5693.0,5733.0
2079,HORNSBY,913.0,1053.0,1097.0,1078.0,1056.0,880.0,1080.0,1150.0,1140.0,1103.0,460.0,575.0,450.0,500.0,480.0,48.0,38.0,44.0,35.0,48.0,33.0,20.0,20.0,20.0,34.0,430.0,428.0,432.0,441.0,448.0
2080,HORNSBY,705.0,725.0,724.0,733.0,760.5,705.0,725.0,724.0,733.0,760.5,450.0,450.0,450.0,450.0,450.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,52.0,52.0,53.0,56.0,55.0
2081,HORNSBY,1106.0,1077.0,724.0,1184.0,1113.0,1129.0,1120.0,724.0,1200.0,1185.0,590.0,655.0,510.0,598.0,648.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5.0,31.0,20.0,216.0,217.0,216.0,223.0,215.0
2082,HORNSBY,705.0,725.0,1012.0,1214.0,1166.0,705.0,725.0,986.0,1225.0,1200.0,635.0,595.0,450.0,640.0,620.0,20.0,20.0,5.0,20.0,20.0,5.0,5.0,20.0,20.0,20.0,155.0,164.0,160.0,168.0,167.0
2083,CENTRAL COAST,705.0,725.0,928.0,745.0,760.5,705.0,725.0,920.0,840.0,760.5,560.0,450.0,450.0,450.0,535.0,20.0,20.0,20.0,5.0,20.0,5.0,5.0,20.0,20.0,5.0,127.0,137.0,135.0,133.0,135.0
2083,HORNSBY,705.0,725.0,928.0,745.0,760.5,705.0,725.0,920.0,840.0,760.5,560.0,450.0,450.0,450.0,535.0,20.0,20.0,20.0,5.0,20.0,5.0,5.0,20.0,20.0,5.0,127.0,137.0,135.0,133.0,135.0
2084,NORTHERN BEACHES,705.0,725.0,724.0,733.0,760.5,705.0,725.0,724.0,733.0,760.5,950.0,450.0,450.0,450.0,450.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,137.0,134.0,137.0,139.0,138.0
2085,NORTHERN BEACHES,1517.0,1355.0,1495.0,1513.0,1883.0,1640.0,1525.0,1583.0,1650.0,1860.0,903.0,950.0,990.0,1030.0,1050.0,20.0,20.0,32.0,20.0,20.0,20.0,20.0,20.0,47.0,43.0,336.0,338.0,346.0,350.0,346.0
2086,NORTHERN BEACHES,1614.0,1620.0,1602.0,1700.0,1877.0,1610.0,1578.0,1633.0,1691.0,1919.0,880.0,850.0,853.0,800.0,850.0,51.0,48.0,72.0,59.0,55.0,39.0,36.0,43.0,54.0,44.0,583.0,571.0,602.0,621.0,618.0
